domain,name,expected_entity_id,unique_id,area_id,area_name,floor_id,floor_name,source,notes
light,Sauna Decke,light.sauna_kg_decke,3/1/0,sauna,Sauna,kellergeschoss,Kellergeschoss,FHEM room + KNX/ETS group address name,legacy_entity_ids=light.sauna_decke
light,Gast/Hobby Decke,light.gast_hobby_kg_decke,3/1/6,gast_hobby,Gast/Hobby,kellergeschoss,Kellergeschoss,FHEM room + KNX/ETS group address name,legacy_entity_ids=light.gast_hobby_decke
light,Zimmer Sinja Decke,light.zimmer_sinja_kg_decke,3/1/12,zimmer_sinja,Zimmer Sinja,kellergeschoss,Kellergeschoss,FHEM room + KNX/ETS group address name,legacy_entity_ids=light.zimmer_sinja_decke
light,Zimmer Silas Decke,light.zimmer_silas_kg_decke,3/1/18,zimmer_silas,Zimmer Silas,kellergeschoss,Kellergeschoss,FHEM room + KNX/ETS group address name,legacy_entity_ids=light.zimmer_silas_decke
light,Flur KG Decke,light.flur_kg_decke,3/1/26,flur_kg,Flur KG,kellergeschoss,Kellergeschoss,FHEM room + KNX/ETS group address name,
light,Kinderbad Decke,light.kinderbad_kg_decke,2/1/6,kinderbad,Kinderbad,kellergeschoss,Kellergeschoss,FHEM room + KNX/ETS group address name,legacy_entity_ids=light.kinderbad_decke
light,Waschküche Decke,light.waschkueche_kg_decke,2/1/4,waschkueche,Waschküche,kellergeschoss,Kellergeschoss,FHEM room + KNX/ETS group address name,legacy_entity_ids=light.waschkuche_decke
light,Keller hinten,light.keller_kg_hinten,2/1/8,keller,Keller,kellergeschoss,Kellergeschoss,FHEM room + KNX/ETS group address name,legacy_entity_ids=light.keller_hinten
light,Keller klein,light.keller_kg_klein,2/1/12,keller,Keller,kellergeschoss,Kellergeschoss,FHEM room + KNX/ETS group address name,legacy_entity_ids=light.keller_klein
light,Keller vorn,light.keller_kg_vorn,2/1/14,keller,Keller,kellergeschoss,Kellergeschoss,FHEM room + KNX/ETS group address name,legacy_entity_ids=light.keller_vorn
light,Keller alle,light.keller_kg_alle,2/2/0,keller,Keller,kellergeschoss,Kellergeschoss,FHEM room + KNX/ETS group address name,legacy_entity_ids=light.keller_alle
light,Eingangsbereich,light.eingangsbereich_aussenbereich,2/3/21,eingangsbereich,Eingangsbereich,aussenbereich,Außenbereich,FHEM room + KNX/ETS group address name,legacy_entity_ids=light.eingangsbereich
cover,Arbeitszimmer Garten,cover.arbeitszimmer_eg_garten,4/0/76_4/0/79,arbeitszimmer,Arbeitszimmer,erdgeschoss,Erdgeschoss,FHEM room + KNX/ETS group address name,"Fenster des Arbeitszimmers, nicht Außenbereich. legacy_entity_ids=cover.arbeitszimmer_garten"
cover,Arbeitszimmer Vorgarten,cover.arbeitszimmer_eg_vorgarten,4/0/80_4/0/83,arbeitszimmer,Arbeitszimmer,erdgeschoss,Erdgeschoss,FHEM room + KNX/ETS group address name,"Fenster des Arbeitszimmers, nicht Außenbereich. legacy_entity_ids=cover.arbeitszimmer_vorgarten"
cover,Wohnzimmer Panorama,cover.wohnzimmer_eg_panorama,4/0/56_4/0/59,wohnzimmer,Wohnzimmer,erdgeschoss,Erdgeschoss,FHEM room + KNX/ETS group address name,legacy_entity_ids=cover.wohnzimmer_panorama
cover,Wohnzimmer Terrasse,cover.wohnzimmer_eg_terrasse,4/0/60_4/0/63,wohnzimmer,Wohnzimmer,erdgeschoss,Erdgeschoss,FHEM room + KNX/ETS group address name,legacy_entity_ids=cover.wohnzimmer_terrasse
cover,Küche Terrasse,cover.kueche_eg_terrasse,4/0/64_4/0/67,kueche,Küche,erdgeschoss,Erdgeschoss,FHEM room + KNX/ETS group address name,legacy_entity_ids=cover.kuche_terrasse
cover,Küche Seite,cover.kueche_eg_seite,4/0/68_4/0/71,kueche,Küche,erdgeschoss,Erdgeschoss,FHEM room + KNX/ETS group address name,legacy_entity_ids=cover.kuche_seite
cover,Küche Nebeneingang,cover.kueche_eg_nebeneingang,4/0/72_4/0/75,kueche,Küche,erdgeschoss,Erdgeschoss,FHEM room + KNX/ETS group address name,legacy_entity_ids=cover.kuche_nebeneingang
cover,Sonnensegel,cover.terrasse_aussenbereich_sonnensegel,4/0/94_4/0/97,terrasse,Terrasse,aussenbereich,Außenbereich,FHEM room + KNX/ETS group address name,"FHEM-Raum Kueche, physisch außen/Terrasse; daher Terrasse. legacy_entity_ids=cover.sonnensegel"
cover,Schlafzimmer Front innen,cover.schlafzimmer_og_front_innen,4/2/0_None,schlafzimmer,Schlafzimmer,obergeschoss,Obergeschoss,FHEM room + KNX/ETS group address name,legacy_entity_ids=cover.schlafzimmer_front_innen
cover,Schlafzimmer Panorama innen,cover.schlafzimmer_og_panorama_innen,4/1/20_4/1/23,schlafzimmer,Schlafzimmer,obergeschoss,Obergeschoss,FHEM room + KNX/ETS group address name,legacy_entity_ids=cover.schlafzimmer_panorama_innen
cover,Schlafzimmer Front Mitte,cover.schlafzimmer_og_front_mitte,4/0/40_4/0/43,schlafzimmer,Schlafzimmer,obergeschoss,Obergeschoss,FHEM room + KNX/ETS group address name,legacy_entity_ids=cover.schlafzimmer_front_mitte
cover,Schlafzimmer Front rechts,cover.schlafzimmer_og_front_rechts,4/0/36_4/0/39,schlafzimmer,Schlafzimmer,obergeschoss,Obergeschoss,FHEM room + KNX/ETS group address name,legacy_entity_ids=cover.schlafzimmer_front_rechts
cover,Schlafzimmer Front links,cover.schlafzimmer_og_front_links,4/0/44_4/0/47,schlafzimmer,Schlafzimmer,obergeschoss,Obergeschoss,FHEM room + KNX/ETS group address name,legacy_entity_ids=cover.schlafzimmer_front_links
cover,Schlafzimmer Panorama außen,cover.schlafzimmer_og_panorama_aussen,4/0/48_4/0/51,schlafzimmer,Schlafzimmer,obergeschoss,Obergeschoss,FHEM room + KNX/ETS group address name,legacy_entity_ids=cover.schlafzimmer_panorama_aussen
cover,Büro OG Fenster,cover.buro_og_fenster,4/0/4_4/0/7,buero_og,Büro OG,obergeschoss,Obergeschoss,FHEM room + KNX/ETS group address name,
cover,Ankleide Fenster,cover.ankleide_og_fenster,4/0/0_4/0/3,ankleide,Ankleide,obergeschoss,Obergeschoss,FHEM room + KNX/ETS group address name,legacy_entity_ids=cover.ankleide_fenster
cover,Flur OG Fenster,cover.flur_og_fenster,4/2/14_4/0/31,flur_og,Flur OG,obergeschoss,Obergeschoss,FHEM room + KNX/ETS group address name,
cover,Treppe OG,cover.treppe_og,4/0/52_4/0/55,treppe_og,Treppe OG,obergeschoss,Obergeschoss,FHEM room + KNX/ETS group address name,
cover,WC OG Fenster,cover.wc_og_fenster,4/0/8_4/0/11,wc_og,WC OG,obergeschoss,Obergeschoss,FHEM room + KNX/ETS group address name,
cover,Bad OG innen,cover.bad_og_innen,4/2/2_4/1/3,bad_og,Bad OG,obergeschoss,Obergeschoss,FHEM room + KNX/ETS group address name,
cover,Bad OG Balkon,cover.bad_og_balkon,4/2/8_4/0/15,bad_og,Bad OG,obergeschoss,Obergeschoss,FHEM room + KNX/ETS group address name,
cover,Bad OG Panorama außen,cover.bad_og_panorama_aussen,4/0/12_4/0/15,bad_og,Bad OG,obergeschoss,Obergeschoss,FHEM room + KNX/ETS group address name,
climate,Thermostat,climate.arbeitszimmer_eg_thermostat,5/0/79_5/0/81_5/0/75_None,arbeitszimmer,Arbeitszimmer,erdgeschoss,Erdgeschoss,FHEM room + KNX/ETS group address name,legacy_entity_ids=climate.th_eg_buero_2;climate.th_eg_buero;climate.arbeitszimmer_thermostat
binary_sensor,Anforderung Heizen,binary_sensor.arbeitszimmer_eg_anforderung_heizen,5/0/77,arbeitszimmer,Arbeitszimmer,erdgeschoss,Erdgeschoss,FHEM room + KNX/ETS group address name,legacy_entity_ids=binary_sensor.arbeitszimmer_anforderung_heizen
binary_sensor,Anforderung Kühlen,binary_sensor.arbeitszimmer_eg_anforderung_kuhlen,5/0/80,arbeitszimmer,Arbeitszimmer,erdgeschoss,Erdgeschoss,FHEM room + KNX/ETS group address name,legacy_entity_ids=binary_sensor.arbeitszimmer_anforderung_kuhlen
sensor,Energieanforderung,sensor.arbeitszimmer_eg_energieanforderung,arbeitszimmer_energieanforderung,arbeitszimmer,Arbeitszimmer,erdgeschoss,Erdgeschoss,virtual template,Virtueller Status aus Meldung Heizen/Kühlen. legacy_entity_ids=sensor.arbeitszimmer_energieanforderung
binary_sensor,Garagentor Status,binary_sensor.garage_aussenbereich_garagentor_status,2/3/15,garage,Garage,aussenbereich,Außenbereich,FHEM room + KNX/ETS group address name,legacy_entity_ids=binary_sensor.garagentor_status
sensor,Wetterstation Wind,sensor.wetterstation_aussenbereich_wind,1/1/1,wetterstation,Wetterstation,aussenbereich,Außenbereich,FHEM room + KNX/ETS group address name,legacy_entity_ids=sensor.wetterstation_wind
button,Garagentor Impuls,button.garage_aussenbereich_garagentor_impuls,2/3/14_1,garage,Garage,aussenbereich,Außenbereich,FHEM room + KNX/ETS group address name,legacy_entity_ids=button.garagentor_impuls
cover,Garagentor,cover.garage_aussenbereich_garagentor,knx_garagentor_virtual_cover,garage,Garage,aussenbereich,Außenbereich,virtual template,Virtuelles Cover aus Garagentor-Impuls und KNX-Status. legacy_entity_ids=cover.garagentor
